movie_id,title,release_year,release_month,release_day_of_week,budget,revenue,runtime,original_language,primary_genre,secondary_genre,primary_production_company,co_production_company,director_popularity,lead_actor_popularity,co_star_popularity,vote_average,vote_count
969681,Spider-Man: Brand New Day,2026,7,2,225000000.0,2478502286.0,145,en,Science Fiction,Action,Marvel Studios,Columbia Pictures,2.5091,12.9617,12.1356,7.86,2798
1423191,Resident Evil,2026,9,2,75000000.0,108300000.0,95,en,Horror,Science Fiction,Constantin Film,Subconscious,7.5087,12.0879,4.9997,7.3,241
1101383,The End of Oak Street,2026,8,2,80000000.0,120363694.0,100,en,Science Fiction,Mystery,Warner Bros. Pictures,Domain Entertainment,2.2613,16.9593,6.9073,7.0,1337
1204680,Coyote vs. Acme,2026,8,3,72000000.0,79825108.0,103,en,Comedy,Adventure,Troll Court Entertainment,Keylight Pictures,0.8813,4.1069,3.1287,7.6,468
1368337,The Odyssey,2026,7,2,250000000.0,1721314740.0,173,en,Adventure,Action,Universal Pictures,Syncopy,10.8536,9.8324,12.9617,8.0,3824
1375646,Colony,2026,5,3,0.0,0.0,123,ko,Action,Horror,Wow Point,Smilegate Entertainment,1.7619,2.6645,2.1196,8.091,839
1288445,Mutiny,2026,8,2,40000000.0,20824283.0,96,en,Action,Thriller,Punch Palace Productions,MadRiver Pictures,1.5759,18.0993,7.22,6.4,425
1108427,Moana,2026,7,2,250000000.0,308159595.0,115,en,Family,Fantasy,Walt Disney Pictures,Seven Bucks Productions,1.0,2.8145,8.3727,7.402,724
1084244,Toy Story 5,2026,6,2,250000000.0,1136476240.0,102,en,Animation,Family,Pixar,Unknown,3.0524,3.9144,19.398,8.361,2227
1386315,The Runner,2026,9,3,0.0,0.0,86,en,Thriller,Action,Amazon MGM Studios,Rockwood Pictures,1.1047,8.9161,4.0544,6.767,536
1339713,Obsession,2026,5,2,750000.0,516820052.0,109,en,Horror,Thriller,Tea Shop Productions,Under the Shell,2.5582,3.2479,10.3162,8.193,5646
1232569,Pinocchio: Unstrung,2026,7,2,500000.0,821127.0,82,en,Horror,Fantasy,Jagged Edge Productions,Unknown,0.9146,0.826,0.9336,6.6,105
1315772,Minions & Monsters,2026,6,2,85000000.0,519033384.0,90,en,Adventure,Animation,Universal Pictures,Illumination,2.036,2.036,2.4463,7.556,1151
1323244,Rage of Stars,2026,8,3,0.0,0.0,106,en,Action,Science Fiction,Lukra Films,Unknown,0.5965,1.3707,0.8339,6.616,159
1137844,Mayday,2026,9,3,0.0,0.0,111,en,Action,Comedy,Skydance Media,Maximum Effort,1.2591,8.529,6.9625,8.04,727
1516698,The Last Sunrise,2026,8,2,0.0,0.0,107,en,Romance,Drama,Amazon MGM Studios,Ethea Entertainment,2.171,2.7392,4.0055,6.784,185
1185806,PAW Patrol: The Dino Movie,2026,7,3,40000000.0,138326933.0,88,en,Animation,Adventure,Spin Master,Nickelodeon Movies,0.9528,0.7584,10.579,7.929,127
1621552,Facing El Chapo,2026,8,4,0.0,0.0,91,es,Crime,Action,Draco Films,Unknown,1.2028,1.6848,1.56,8.787,771
687163,Project Hail Mary,2026,3,6,200000000.0,684234722.0,157,en,Science Fiction,Adventure,Lord Miller,Amazon MGM Studios,1.9036,10.0043,3.5539,8.639,7876
755898,War of the Worlds,2025,7,1,10000000.0,0.0,91,en,Science Fiction,Thriller,Universal Pictures,Bazelevs,0.742,3.8368,3.4875,4.023,1143
1127384,Deep Water,2026,4,3,40000000.0,7340233.0,107,en,Horror,Thriller,Magenta Light Studios,Arclight Films,2.2937,3.964,4.4588,7.354,586
1083381,Backrooms,2026,5,2,10000000.0,402488438.0,111,en,Horror,Mystery,Atomic Monster,21 Laps Entertainment,1.8062,3.5877,2.5196,7.0,3357
1275779,Disclosure Day,2026,6,2,115000000.0,241186430.0,146,en,Science Fiction,Thriller,Universal Pictures,Amblin Entertainment,6.473,9.2829,3.7518,7.464,3391
980431,Avatar Aang: The Last Airbender,2026,7,4,0.0,0.0,99,en,Animation,Adventure,Nickelodeon Movies,Paramount Pictures,1.2058,1.1737,5.1638,9.1,1167
299534,Avengers: Endgame,2019,4,2,356000000.0,2799439100.0,181,en,Adventure,Science Fiction,Marvel Studios,Unknown,1.9431,9.7863,7.1267,8.244,28721
299536,Avengers: Infinity War,2018,4,2,300000000.0,2052415039.0,149,en,Adventure,Action,Marvel Studios,Unknown,1.9431,9.7863,7.1267,8.243,32940
1228710,The Mandalorian and Grogu,2026,5,2,165000000.0,345166617.0,132,en,Action,Adventure,Lucasfilm Ltd.,Fairview Entertainment,4.2733,9.1163,4.2886,7.473,1676
1419406,The Shadow's Edge,2025,8,5,0.0,174400000.0,142,zh,Action,Crime,iQIYI Pictures （重复 同 iQiyi Motion Pictures）,Tao Piao Piao 淘票票,1.4097,10.6008,2.6666,8.281,1446
6435,Practical Magic,1998,10,4,75000000.0,94400000.0,104,en,Romance,Fantasy,Di Novi Pictures,Fortis Films,2.0119,10.0361,10.8538,6.809,1952
1084242,Zootopia 2,2025,11,2,150000000.0,1868208796.0,108,en,Animation,Adventure,Walt Disney Animation Studios,Walt Disney Animation Studios,1.5139,3.4109,5.0379,7.674,3444
278,The Shawshank Redemption,1994,9,4,25000000.0,28341469.0,142,en,Drama,Crime,Castle Rock Entertainment,Unknown,3.2533,4.7561,11.1352,8.7,31367
1560520,Batman: Knightfall Part 1: Knightfall,2026,6,1,0.0,0.0,79,en,Animation,Action,Warner Bros. Animation,DC,0.9442,2.953,2.9432,9.193,353
83533,Avatar: Fire and Ash,2025,12,2,350000000.0,1485999890.0,198,en,Science Fiction,Adventure,20th Century Studios,Lightstorm Entertainment,4.6153,4.7317,11.4536,7.642,4351
860508,The Whisper Man,2026,8,3,50000000.0,0.0,111,en,Crime,Drama,AGBO,Unknown,1.1388,7.0757,5.7455,6.849,756
1081003,Supergirl,2026,6,2,175000000.0,126366532.0,108,en,Action,Adventure,DC Studios,Troll Court Entertainment,1.7631,6.6009,1.9893,6.683,2372
157336,Interstellar,2014,11,2,165000000.0,746606706.0,169,en,Adventure,Drama,Legendary Pictures,Syncopy,10.8536,8.1457,16.9593,8.488,41203
1301421,The Sheep Detectives,2026,4,3,75000000.0,131550648.0,109,en,Comedy,Family,Working Title,Three Strange Angels,1.4252,9.6046,2.4221,7.936,1693
24428,The Avengers,2012,4,2,220000000.0,1518815515.0,143,en,Science Fiction,Action,Marvel Studios,Unknown,2.0538,9.7863,7.1267,8.1,39773
634649,Spider-Man: No Way Home,2021,12,2,200000000.0,1921426073.0,148,en,Action,Adventure,Marvel Studios,Pascal Pictures,1.7024,12.9617,12.1356,7.947,23147
1273221,Scary Movie,2026,6,2,30000000.0,231886052.0,96,en,Comedy,Unknown,Wayans Bros. Entertainment,Miramax,0.87,4.5247,3.2757,6.381,1925
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025,7,4,20000000.0,793594078.0,156,ja,Animation,Action,ufotable,Aniplex,1.3134,3.4077,3.6545,8.8,2160
238,The Godfather,1972,3,1,6000000.0,245066411.0,175,en,Drama,Crime,Paramount Pictures,Alfran Productions,3.5013,3.1406,6.2319,8.687,23605
1184918,The Wild Robot,2024,9,3,78000000.0,331982078.0,102,en,Family,Animation,DreamWorks Animation,Unknown,2.4093,4.4583,9.1163,8.307,6620
155,The Dark Knight,2008,7,2,185000000.0,1004558444.0,152,en,Action,Thriller,Warner Bros. Pictures,Legendary Pictures,10.8536,5.3878,4.8707,8.535,36745
76341,Mad Max: Fury Road,2015,5,2,150000000.0,378858340.0,121,en,Action,Adventure,Warner Bros. Pictures,Village Roadshow Pictures,1.9524,11.0253,8.8009,7.639,24630
27205,Inception,2010,7,3,160000000.0,839030630.0,148,en,Action,Science Fiction,Warner Bros. Pictures,Unknown,10.8536,8.6977,6.027,8.374,40219
1226863,The Super Mario Galaxy Movie,2026,4,2,110000000.0,1012203331.0,98,en,Family,Comedy,Illumination,Universal Pictures,1.0179,6.3815,2.6568,8.223,3701
218,The Terminator,1984,10,4,6400000.0,78371200.0,108,en,Action,Thriller,Hemdale,Pacific Western,4.6153,6.6398,2.799,7.695,15149
